date,Sales Rep,Revenue
2022-07-11,Sarah,389
2022-07-12,Mike,491
2022-07-12,Ian,399
2022-07-12,Fank,222
2022-07-12,Sue,140
2022-07-12,Sarah,323
2022-07-13,Mike,475
2022-07-13,Ian,308
2022-07-13,Fank,477
2022-07-13,Sue,360
2022-07-13,Sarah,418
2022-07-14,Mike,405
2022-07-14,Ian,482
2022-07-14,Fank,323
2022-07-14,Sue,498
2022-07-14,Sarah,12
2022-07-15,Mike,390
2022-07-15,Ian,266
2022-07-15,Fank,169
2022-07-15,Sue,60
2022-07-15,Sarah,406
2022-07-16,Mike,38
2022-07-16,Ian,461
2022-07-16,Fank,225
2022-07-16,Sue,396
2022-07-16,Sarah,25
2022-07-17,Mike,475
2022-07-17,Ian,441
2022-07-17,Fank,425
2022-07-17,Sue,269
2022-07-17,Sarah,41
2022-07-18,Mike,179
2022-07-18,Ian,247
2022-07-18,Fank,450
2022-07-18,Sue,235
2022-07-18,Sarah,83
2022-07-19,Mike,465
2022-07-19,Ian,175
2022-07-19,Fank,400
2022-07-19,Sue,351
2022-07-19,Sarah,296
2022-07-20,Mike,93
2022-07-20,Ian,369
2022-07-20,Fank,380
2022-07-20,Sue,420
2022-07-20,Sarah,321
2022-07-21,Mike,167
2022-07-21,Ian,117
2022-07-21,Fank,64
2022-07-21,Sue,281
2022-07-21,Sarah,362
2022-07-22,Mike,77
2022-07-22,Ian,426
2022-07-22,Fank,396
2022-07-22,Sue,348
2022-07-22,Sarah,472
2022-07-23,Mike,203
2022-07-23,Ian,437
2022-07-23,Fank,81
2022-07-23,Sue,229
2022-07-23,Sarah,165
2022-07-24,Mike,172
2022-07-24,Ian,314
2022-07-24,Fank,440
2022-07-24,Sue,431
2022-07-24,Sarah,22
2022-07-25,Mike,245
2022-07-25,Ian,372
2022-07-25,Fank,43
2022-07-25,Sue,279
2022-07-25,Sarah,341
2022-07-26,Mike,113
2022-07-26,Ian,450
2022-07-26,Fank,300
2022-07-26,Sue,117
2022-07-26,Sarah,495
2022-07-27,Mike,238
2022-07-27,Ian,325
2022-07-27,Fank,103
2022-07-27,Sue,456
2022-07-27,Sarah,442
2022-07-28,Mike,242
2022-07-28,Ian,339
2022-07-28,Fank,134
2022-07-28,Sue,469
2022-07-28,Sarah,257
2022-07-29,Mike,90
2022-07-29,Ian,274
2022-07-29,Fank,63
2022-07-29,Sue,108
2022-07-29,Sarah,218
2022-07-30,Mike,473
2022-07-30,Ian,412
2022-07-30,Fank,418
2022-07-30,Sue,261
2022-07-30,Sarah,240
2022-07-31,Mike,29
2022-07-31,Ian,217
2022-07-31,Fank,8
2022-07-31,Sue,77
2022-07-31,Sarah,41
2022-08-01,Mike,82
2022-08-01,Ian,50
2022-08-01,Fank,177
2022-08-01,Sue,431
2022-08-01,Sarah,420
2022-08-02,Mike,303
2022-08-02,Ian,482
2022-08-02,Fank,226
2022-08-02,Sue,17
2022-08-02,Sarah,177
2022-08-03,Mike,349
2022-08-03,Ian,163
2022-08-03,Fank,421
2022-08-03,Sue,168
2022-08-03,Sarah,443
2022-08-04,Mike,130
2022-08-04,Ian,202
2022-08-04,Fank,23
2022-08-04,Sue,419
2022-08-04,Sarah,318
2022-08-05,Mike,284
2022-08-05,Ian,307
2022-08-05,Fank,226
2022-08-05,Sue,484
2022-08-05,Sarah,367
2022-08-06,Mike,335
2022-08-06,Ian,40
2022-08-06,Fank,368
2022-08-06,Sue,359
2022-08-06,Sarah,151
2022-08-07,Mike,308
2022-08-07,Ian,388
2022-08-07,Fank,12
2022-08-07,Sue,118
2022-08-07,Sarah,61
2022-08-08,Mike,226
2022-08-08,Ian,275
2022-08-08,Fank,261
2022-08-08,Sue,260
2022-08-08,Sarah,462
2022-08-09,Mike,161
2022-08-09,Ian,148
2022-08-09,Fank,356
2022-08-09,Sue,269
2022-08-09,Sarah,410
2022-08-10,Mike,40
